"Year","Neighborhood Tabulation Area NTA)","Neighborhood Tabulation Area (NTA) Name","Supply Gap (lbs.)","Food Insecure Percentage","Unemployment Rate","Vulnerable Population Score","Weighted Score","Rank"
"2024","BK0503","East New York-New Lots","-402,377.442568332","19.51%","0.12%","0.13","5.62775479837","83"
"2024","BK0504","Spring Creek-Starrett City","188,841.677091142","22.38%","0.08%","0.08","5.78852451988","69"
"2024","BK0505","East New York-City Line","-878,835.429455159","15.16%","0.06%","0.13","4.57342366233","169"
"2024","BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","690,093.40410665","16.86%","0.07%","0.11","5.57433487161","88"
"2024","BK0602","Park Slope","740,191.865141086","9.43%","0.06%","0.10","5.58213332432","87"
"2024","BK0701","Windsor Terrace-South Slope","751,349.658538681","13.94%","0.06%","0.11","5.74833123746","73"
"2024","BK0702","Sunset Park (West)","1,812,385.83201379","21.51%","0.06%","0.21","6.82464285229","13"
"2024","BK0703","Sunset Park (Central)","552,537.649261346","13.28%","0.07%","0.33","5.5144299156","95"
"2024","BK0801","Prospect Heights","225,138.973241551","11.32%","0.05%","0.09","4.92653919022","145"
"2024","BK0802","Crown Heights (North)","-404,200.906121022","15.21%","0.09%","0.11","5.06348325995","134"
"2024","BK0901","Crown Heights (South)","-56,409.5558567191","14.14%","0.09%","0.15","4.85381466656","155"
"2024","BK0902","Prospect Lefferts Gardens-Wingate","-560,298.344602313","12.17%","0.06%","0.13","4.86433565836","153"
"2024","BK1001","Bay Ridge","2,485,987.17356987","17.16%","0.06%","0.14","6.57491123294","21"
"2024","BK1002","Dyker Heights","1,283,956.11219479","19.65%","0.07%","0.21","5.70310257999","74"
"2024","BK1101","Bensonhurst","1,806,362.34943439","15.54%","0.08%","0.25","6.41787351742","24"
"2024","BK1102","Bath Beach","899,835.001580302","16.82%","0.05%","0.20","5.3497844944","111"
"2024","BK1103","Gravesend (West)","1,223,285.62910325","16.00%","0.09%","0.22","6.03311060092","51"
"2024","BK1201","Sunset Park (East)-Borough Park (West)","802,264.456125236","16.11%","0.09%","0.29","5.95156632246","55"
"2024","BK1202","Borough Park","1,459,437.57843072","19.68%","0.08%","0.12","5.94523721564","58"
"2024","BK1203","Kensington","134,106.502346337","12.78%","0.06%","0.14","4.76313104394","161"
"2024","BK1204","Mapleton-Midwood (West)","1,248,582.95032581","26.43%","0.05%","0.14","6.05839081391","50"
"2024","BK1301","Gravesend (South)","-474,243.002695216","24.25%","0.09%","0.18","4.48264229088","172"
"2024","BK1302","Coney Island-Sea Gate","1,616,335.54044771","24.17%","0.10%","0.13","6.61346603737","19"
"2024","BK1303","Brighton Beach","235,949.706253139","10.17%","0.04%","0.26","5.39048288848","108"
"2024","BK1401","Flatbush","-424,811.029993984","8.23%","0.05%","0.17","4.91109233547","148"
"2024","BK1402","Flatbush (West)-Ditmas Park-Parkville","-509,307.117265488","16.81%","0.07%","0.16","4.68680831594","165"
"2024","BK1403","Midwood","721,557.771528911","15.05%","0.06%","0.17","5.68315004615","78"
"2024","BK1501","Gravesend (East)-Homecrest","1,474,982.85347844","17.61%","0.07%","0.17","5.94634601468","57"
"2024","BK1502","Madison","708,304.466658841","14.06%","0.05%","0.16","5.13182133605","127"
"2024","BK1503","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","2,607,257.13486394","21.11%","0.05%","0.16","7.27745934381","5"
"2024","BK1601","Ocean Hill","-2,263,204.79687492","16.73%","0.08%","0.12","3.53624071094","188"
"2024","BK1602","Brownsville","264,829.105211529","24.29%","0.15%","0.14","6.41551643791","25"
"2024","BK1701","East Flatbush-Erasmus","-737,793.869854013","11.82%","0.07%","0.16","4.77394278555","157"
"2024","BK1702","East Flatbush-Farragut","-1,047,139.98534026","9.51%","0.09%","0.17","4.77165729756","160"
"2024","BK1703","East Flatbush-Rugby","-1,377,762.1916176","9.79%","0.07%","0.16","4.31750153013","177"
"2024","BK1704","East Flatbush-Remsen Village","-1,157,371.26019768","14.46%","0.11%","0.17","4.81118132441","156"
"2024","BK1801","Flatlands","-3,182,454.37147252","7.72%","0.07%","0.13","2.49245269495","193"
"2024","BK1802","Marine Park-Mill Basin-Bergen Beach","84,385.4488251216","10.54%","0.03%","0.11","4.87733433046","150"
"2024","BK1803","Canarsie","-4,278,148.74096381","7.51%","0.07%","0.13","1.93305910762","196"
"2024","BX0101","Mott Haven-Port Morris","1,098,264.02711379","31.43%","0.13%","0.15","6.90299504052","11"
"2024","BX0102","Melrose","-1,576,332.38684432","22.73%","0.11%","0.14","4.37908517715","176"
"2024","BX0201","Hunts Point","-690,257.604337158","26.58%","0.14%","0.16","5.32249018377","113"
"2024","BX0202","Longwood","-1,466,094.75301842","20.97%","0.17%","0.15","4.60655468875","167"
"2024","BX0301","Morrisania","-2,036,964.96911641","29.56%","0.16%","0.13","3.99636364128","182"
"2024","BX0302","Claremont Village-Claremont (East)","110,672.465016428","31.58%","0.15%","0.13","6.312356249","29"
"2024","BX0303","Crotona Park East","262,736.266835935","30.35%","0.12%","0.16","6.10808044336","45"
"2024","BX0401","Concourse-Concourse Village","166,276.30050347","23.82%","0.11%","0.19","5.97548654563","54"
"2024","BX0402","Highbridge","1,268,726.47414319","32.07%","0.10%","0.15","6.70239307502","17"
"2024","BX0403","Mount Eden-Claremont (West)","1,144,882.03469098","19.88%","0.14%","0.21","7.20760422831","6"
"2024","BX0501","University Heights (South)-Morris Heights","2,488,302.68537993","29.44%","0.12%","0.20","8.07042973813","2"
"2024","BX0502","Mount Hope","567,009.442649681","19.38%","0.14%","0.24","6.73177274138","16"
"2024","BX0503","Fordham Heights","74,632.9495575572","16.19%","0.14%","0.27","6.35760055043","27"
"2024","BX0601","West Farms","782,558.992156596","34.35%","0.17%","0.17","7.12094349997","8"
"2024","BX0602","Tremont","133,584.205790344","31.25%","0.12%","0.16","6.02141457447","52"
"2024","BX0603","Belmont","842,296.234673038","33.87%","0.15%","0.22","6.88977940502","12"
"2024","BX0701","University Heights (North)-Fordham","795,907.586655403","26.67%","0.13%","0.24","6.28884681132","32"
"2024","BX0702","Bedford Park","1,463,638.27020416","30.06%","0.13%","0.25","7.18867393437","7"
"2024","BX0703","Norwood","-130,707.951518669","18.75%","0.10%","0.23","5.68212952837","79"
"2024","BX0801","Kingsbridge Heights-Van Cortlandt Village","1,239,751.24663314","19.27%","0.10%","0.18","6.22581046403","38"
"2024","BX0802","Kingsbridge-Marble Hill","1,328,926.38279925","25.35%","0.09%","0.16","6.17264991492","40"
"2024","BX0803","Riverdale-Spuyten Duyvil","2,647,476.19307849","27.11%","0.06%","0.11","6.64927631815","18"
"2024","BX0901","Soundview-Bruckner-Bronx River","2,385,048.74164229","22.63%","0.10%","0.21","7.68658040655","3"
"2024","BX0902","Soundview-Clason Point","293,028.211265991","18.22%","0.11%","0.11","5.69443295826","77"
"2024","BX0903","Castle Hill-Unionport","815,649.654941075","23.77%","0.09%","0.16","5.81606841518","66"
"2024","BX0904","Parkchester","474,700.082457706","10.97%","0.12%","0.15","6.11831232914","44"
"2024","BX1001","Westchester Square","-88,214.4147788802","24.31%","0.07%","0.18","5.07583962959","132"
"2024","BX1002","Throgs Neck-Schuylerville","1,333,211.83174242","15.43%","0.07%","0.09","5.81953849018","65"
"2024","BX1003","Pelham Bay-Country Club-City Island","726,654.52782675","12.57%","0.09%","0.12","5.5636126383","91"
"2024","BX1004","Co-op City","569,517.318558906","11.79%","0.09%","0.09","5.35238737529","110"
"2024","BX1101","Pelham Parkway-Van Nest","958,064.370252319","20.47%","0.10%","0.17","6.23804535856","37"
"2024","BX1102","Morris Park","694,844.680447353","26.96%","0.08%","0.16","5.41578731163","104"
"2024","BX1103","Pelham Gardens","424,307.742435832","14.20%","0.07%","0.13","5.7971866545","67"
"2024","BX1104","Allerton","977,239.814315569","15.94%","0.11%","0.18","6.59943742477","20"
"2024","BX1201","Williamsbridge-Olinville","529,461.6104009","20.16%","0.11%","0.16","6.10248482436","47"
"2024","BX1202","Eastchester-Edenwald-Baychester","820,539.305591008","25.37%","0.10%","0.15","6.24206018029","36"
"2024","BX1203","Wakefield-Woodlawn","824,032.005172278","19.28%","0.09%","0.15","6.29348818786","31"
"2024","MN0101","Financial District-Battery Park City","339,484.396606642","10.99%","0.03%","0.11","4.48197619954","173"
"2024","MN0102","Tribeca-Civic Center","436,350.661958288","11.87%","0.03%","0.11","5.344533382","112"
"2024","MN0201","SoHo-Little Italy-Hudson Square","485,670.085448653","15.79%","0.03%","0.13","5.41215467017","105"
